# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.018152117729187012e+00 1.997935891151428223e+00 1.016175389289855957e+00 1.997935891151428223e+00
1.000000000000000000e+03 3.673047991469502449e-03 1.834749430418014526e-02 2.970540896058082581e-03 1.834749430418014526e-02
2.000000000000000000e+03 1.398644410073757172e-03 6.180561147630214691e-03 1.149083953350782394e-03 6.180561147630214691e-03
3.000000000000000000e+03 1.384816598147153854e-03 3.457592334598302841e-03 1.154901226982474327e-03 3.457592334598302841e-03
4.000000000000000000e+03 9.913018438965082169e-04 2.948684617877006531e-03 8.039661915972828865e-04 2.948684617877006531e-03
5.000000000000000000e+03 6.636523175984621048e-04 2.822899958118796349e-03 5.210390081629157066e-04 2.822899958118796349e-03
6.000000000000000000e+03 4.959672223776578903e-04 2.790801925584673882e-03 3.825809108093380928e-04 2.790801925584673882e-03
7.000000000000000000e+03 3.968105302192270756e-04 2.784175332635641098e-03 3.032165695913136005e-04 2.784175332635641098e-03
8.000000000000000000e+03 3.341718693263828754e-04 2.783194417133927345e-03 2.539264969527721405e-04 2.783194417133927345e-03
9.000000000000000000e+03 2.949719491880387068e-04 2.789198188111186028e-03 2.250038814963772893e-04 2.789198188111186028e-03
1.000000000000000000e+04 2.697150921449065208e-04 2.782604657113552094e-03 2.029497263720259070e-04 2.782604657113552094e-03
1.000000000000000000e+04 2.697150921449065208e-04 2.782604657113552094e-03 2.029497263720259070e-04 2.782604657113552094e-03
1.051500000000000000e+04 7.087798439897596836e-05 2.790678525343537331e-03 5.392328966991044581e-05 2.790678525343537331e-03
